ID,INCOME_LEVEL,SEX,AGE,TOWN,OCCUPATION,HEIGHT,1SIBLING,2HOME,3EDUC,4TRAVEL,5CREDIT,6CR SUM,7CARD,8PASTIME,9CHANGES,10DAILY TRAVEL,11TRAVEL MODE,12CONSCIOUS,13ACCOUNTS,14SUM,15MOBILE,16MOBTIME,17CAR,18INTERNET,19SPORT,20VEGAN,21CIVIL,22POLIT,23ILL,24MEDICINE,25DOCTOR,26COVID,27ADVERT,28CULTURE,29FOOD,30CHILDREN,31ROOMS,32VALUABLES,33CLOTHS,34JEWELS,35SMOKE,36ALCOHOL,37MUSIC,38FACE,39TWITTER,40ONLINE1,41ONLINE2,42TV,43REFURB,44MOVE,45TRAVDEST
10,l1,male,43,Budakeszi,Szakorvos ,171,4,0,4,1,0,2,1,1,2,1,1,0,0,376594,1,0,0,0,1,0,0,1,0,0,5,1,0,1,0,2,4,633,2,1,1,3,0,1,1,2,2,1,0,0,1
11,l1,male,35,Nagykanizsa,Lakatos ,180,4,0,3,1,1,1,1,2,2,1,0,0,0,24588,1,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,3,0,2,1,1,2,0,0,1,1,0,1,1,0,1
12,l0,male,28,Nagykanizsa,Lakatos ,171,3,0,4,1,1,1,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,4,149,2,0,0,2,0,1,1,1,0,1,0,0,1
13,l1,male,65,Budakeszi,asztalos ,190,0,0,3,0,1,1,1,3,2,0,0,0,1,190764,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,4,12789,2,3,1,1,1,1,1,0,0,0,0,0,1
14,l0,female,39,Budakeszi,Szakorvos ,182,1,0,3,0,1,1,1,1,3,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,5,1,0,1,1,0,3,797,1,3,1,3,2,1,1,2,2,1,1,0,1
15,l0,female,60,Nagykanizsa,Szakorvos ,168,3,0,3,1,1,1,1,1,0,0,0,0,0,351259,1,0,1,0,1,0,1,1,1,1,5,1,0,1,2,2,3,232,2,2,1,3,2,0,1,1,2,1,0,0,1
16,l0,male,58,Nagykanizsa,asztalos ,173,0,0,3,1,1,2,1,3,3,2,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,2,376,3,1,1,1,0,1,1,2,0,1,1,1,2
17,l1,female,57,Nagykanizsa,Szakorvos ,169,1,0,4,1,1,2,1,1,2,7,4,0,1,550112,0,0,1,0,1,1,1,1,1,1,3,0,0,1,0,0,0,342,2,0,1,2,2,0,0,1,0,1,0,0,1
18,l0,female,30,Budakeszi,asztalos ,170,3,0,3,0,1,1,1,3,2,4,1,0,1,492131,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,4,418,3,3,1,3,0,0,0,1,0,0,0,0,1
19,l1,male,62,Nagykanizsa,Lakatos ,170,0,1,1,1,1,1,1,2,1,0,0,0,0,152754,1,0,1,0,1,0,1,0,0,0,5,1,0,1,2,1,3,5756,2,1,1,3,2,0,1,1,2,0,1,1,1
20,l1,male,26,Nagybajcs,asztalos ,158,0,0,3,1,1,2,1,1,0,1,0,0,0,116907,1,0,0,0,0,0,0,0,0,0,2,1,0,4,2,0,0,291,1,0,0,1,1,1,1,1,2,0,1,1,3
21,l1,male,29,Nagykanizsa,Szakorvos ,174,2,0,3,0,1,1,1,2,0,1,1,0,0,312010,0,0,0,0,1,0,1,1,0,0,1,1,0,4,2,0,1,102,3,1,1,1,2,1,0,2,2,1,1,1,3
22,l1,male,59,Nagykanizsa,asztalos ,171,4,0,3,1,1,1,1,1,2,0,0,0,1,143312,0,0,0,0,1,1,1,0,1,1,1,2,0,4,0,0,0,269,2,0,1,2,0,0,1,1,0,1,1,0,3
23,l1,male,38,Budakeszi,Lakatos ,161,3,0,3,0,1,1,1,1,2,2,4,0,0,11804891,0,0,1,1,1,0,0,0,0,1,1,1,0,1,2,0,0,0,1,2,1,2,0,1,0,2,2,1,1,0,2
24,l1,male,57,Nagykanizsa,Lakatos ,171,4,2,4,0,1,1,0,1,0,2,1,0,0,101104,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,2,1,1,3,2,0,0,1,0,1,1,0,4
25,l1,male,38,Nagybajcs,asztalos ,163,0,0,1,0,0,0,1,5,2,3,4,0,1,476574,1,0,1,0,0,0,0,1,1,1,5,1,1,2,0,2,4,27734,2,1,1,1,1,0,1,1,2,0,1,1,4
26,l0,female,45,Nagybajcs,Szakorvos ,156,1,0,2,0,1,1,1,3,0,1,1,0,1,163185,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,4,4,315,2,1,1,1,2,1,0,1,2,1,1,0,1
27,l1,female,40,Budakeszi,Szakorvos ,170,4,0,4,1,1,1,1,2,3,0,0,0,1,320587,1,0,1,0,1,0,1,1,1,1,1,0,0,1,2,2,1,253,1,1,1,3,2,1,0,0,0,1,1,0,2
28,l1,female,32,Nagykanizsa,Szakorvos ,175,0,0,2,1,1,1,1,0,2,2,1,0,0,9795,1,0,0,0,1,0,0,1,0,0,5,2,0,1,0,0,3,332,2,3,1,1,1,1,0,1,0,1,1,1,3
29,l0,male,58,Budakeszi,Szakorvos ,171,3,0,1,1,1,2,1,1,0,3,1,0,0,13261547,0,0,1,0,0,0,1,1,1,1,3,1,0,4,0,2,4,5186,2,1,0,1,2,1,1,0,0,1,1,1,1
30,l1,male,47,Nagykanizsa,Szakorvos ,171,3,0,3,1,1,1,1,1,3,3,1,0,1,304497,1,0,0,0,1,0,0,1,1,1,0,2,0,4,2,0,4,593,2,1,0,1,2,0,1,2,1,1,0,1,1
31,l0,male,38,Nagykanizsa,Lakatos ,161,3,0,3,0,1,2,1,1,2,0,0,0,1,326016,0,1,0,0,0,0,1,1,1,0,0,2,0,1,2,0,0,0,2,3,1,1,1,0,0,2,2,1,1,1,1
32,l0,female,45,Nagykanizsa,asztalos ,176,3,0,3,1,1,1,1,1,0,0,0,0,1,207838,1,1,0,0,1,0,0,1,1,1,3,0,0,1,0,0,1,0,1,1,1,3,3,1,1,0,0,1,0,0,1
33,l0,female,29,Budakeszi,Lakatos ,187,4,0,3,0,1,1,1,1,2,7,4,0,1,353504,1,0,0,0,1,0,0,1,0,0,5,0,0,1,2,2,1,6704,2,0,1,3,2,1,0,1,1,1,0,0,1
34,l0,male,25,Nagykanizsa,Lakatos ,166,0,0,3,1,1,1,1,1,2,0,0,0,1,426897,1,0,1,0,1,0,1,1,1,1,1,2,0,4,2,1,3,0,2,3,1,1,2,1,1,1,2,1,1,1,2
35,l0,male,35,Budakeszi,asztalos ,169,4,0,3,1,1,1,1,1,2,1,1,0,1,89797,1,0,1,0,1,0,0,1,0,0,5,1,0,1,2,0,3,272,2,0,1,3,1,1,0,1,0,1,1,1,4
36,l1,female,28,Nagykanizsa,Szakorvos ,187,0,2,3,0,1,1,1,2,2,2,1,0,1,25689,1,0,0,0,1,0,0,1,1,0,5,1,0,1,0,3,4,609,3,3,1,3,2,1,1,0,0,1,0,0,0
37,l1,male,58,Nagykanizsa,Lakatos ,168,0,0,4,1,1,1,1,2,2,0,1,0,0,436883,1,0,0,0,1,0,0,1,1,1,5,1,0,4,0,1,4,461,2,1,1,3,2,1,0,1,2,1,0,0,2
38,l0,male,26,Nagykanizsa,asztalos ,169,0,0,1,1,1,2,1,1,1,1,0,0,0,235622,1,0,0,0,1,1,1,1,1,1,1,1,0,0,2,0,3,0,1,0,1,1,2,1,1,1,0,1,1,0,3
39,l1,male,48,Budakeszi,Szakorvos ,190,3,1,3,0,1,1,1,1,0,3,1,0,1,60274,1,0,0,1,1,0,0,1,1,0,2,1,0,4,0,0,3,0,2,1,1,3,2,1,1,1,0,1,1,1,0
40,l0,male,42,Nagybajcs,Lakatos ,178,3,0,1,1,1,1,1,1,1,3,4,0,0,356470,0,0,0,0,1,1,0,1,1,1,0,1,0,1,2,2,4,646,2,1,1,1,2,0,0,1,2,0,1,1,4
41,l0,male,26,Budakeszi,Lakatos ,162,3,0,3,1,1,1,1,2,3,2,4,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,3,310,1,1,1,1,0,0,0,2,2,0,1,0,1
42,l0,male,61,Budakeszi,Lakatos ,157,1,0,3,0,1,1,0,4,2,2,1,0,0,110198,1,0,1,0,1,0,0,1,1,0,5,1,0,0,2,2,4,68,2,0,1,1,1,0,0,0,1,1,1,1,1
43,l0,male,63,Nagykanizsa,asztalos ,165,3,0,3,1,1,1,1,4,0,3,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,3,3866,3,1,1,3,1,0,0,0,2,0,0,0,1
44,l0,male,50,Nagykanizsa,asztalos ,168,4,0,3,1,1,1,0,1,1,2,0,0,1,0,1,0,0,1,0,0,1,0,1,0,2,1,0,4,0,4,3,279,2,1,1,3,0,1,0,1,1,1,0,0,3
45,l1,male,39,Nagykanizsa,asztalos ,167,1,1,3,1,1,1,1,2,1,2,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,3,0,4,0,0,3,0,2,1,1,1,1,1,1,2,2,1,0,0,3
46,l0,male,51,Budakeszi,Lakatos ,170,2,0,3,0,1,1,1,1,2,2,1,0,0,307271,1,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,4,11,2,1,1,0,1,0,0,0,1,1,0,1,3
47,l1,male,47,Budakeszi,Lakatos ,170,3,0,4,1,1,1,1,2,2,0,4,0,1,408149,1,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,4,585,2,0,1,0,1,1,1,1,2,1,0,0,1
48,l1,male,38,Nagybajcs,Szakorvos ,161,4,0,3,1,1,1,0,1,2,2,1,0,0,0,1,0,1,1,1,0,0,0,0,0,3,1,0,3,2,0,1,484,2,3,1,2,2,0,1,1,2,0,0,0,3
49,l1,male,61,Budakeszi,Szakorvos ,161,3,0,3,1,1,1,1,1,2,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,3,1,0,1,0,2,4,5206,2,1,1,3,1,1,1,2,2,1,1,1,0
50,l0,male,63,Nagykanizsa,Lakatos ,168,3,0,1,1,1,2,1,1,3,11,4,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,2,0,4,422,0,2,1,1,2,0,0,0,0,0,0,0,2
51,l1,female,34,Nagybajcs,Szakorvos ,164,0,1,3,1,1,1,1,4,3,1,1,0,0,435167,1,1,0,0,0,0,0,1,0,0,2,1,0,0,2,0,1,0,2,0,1,3,1,0,1,2,2,0,0,0,0
52,l0,male,40,Nagybajcs,asztalos ,163,4,0,3,1,1,2,1,1,2,2,4,0,0,204246,1,0,0,1,1,0,1,0,1,0,1,1,1,0,2,0,0,0,2,2,1,3,2,1,0,1,2,0,1,1,2
53,l1,female,42,Nagykanizsa,Szakorvos ,185,0,0,4,1,1,1,1,1,2,1,1,0,0,324588,0,0,1,0,1,1,1,1,1,1,4,2,0,1,4,0,0,476,2,0,1,3,1,1,0,1,0,0,0,0,1
54,l1,male,59,Nagykanizsa,Lakatos ,172,4,1,4,1,1,1,1,1,2,7,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,0,4,2,1,3,0,2,0,1,1,1,0,0,1,0,1,1,0,1
55,l1,male,53,Nagykanizsa,Szakorvos ,166,4,0,2,1,1,1,0,1,3,2,1,0,0,218784,1,0,0,0,1,1,1,1,1,0,3,3,1,1,0,0,3,0,2,3,1,2,2,0,0,1,1,1,0,0,3
56,l1,male,53,Budakeszi,asztalos ,174,3,1,3,1,1,1,1,1,2,0,0,0,0,72019,0,0,1,1,0,1,1,1,1,1,2,1,0,1,2,1,1,784,3,3,1,3,0,1,1,1,2,0,1,0,1
57,l1,female,46,Budakeszi,Lakatos ,178,4,0,1,1,1,1,1,1,2,1,0,0,1,180072,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,125,2,1,1,2,1,1,0,2,2,1,1,0,3
58,l0,female,39,Nagybajcs,asztalos ,181,0,0,2,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,2,0,4,0,0,1,228,3,2,1,1,2,0,0,2,2,1,0,0,3
59,l1,female,42,Nagykanizsa,Lakatos ,182,3,0,2,1,1,2,1,1,2,2,1,0,0,79318,0,0,0,0,1,1,0,1,1,1,1,1,0,0,2,0,4,820,1,0,1,2,2,1,1,1,0,1,1,0,1
60,l0,female,52,Nagykanizsa,Lakatos ,175,4,0,1,0,1,1,1,2,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,5,1,0,0,2,2,4,593,2,3,1,2,1,0,0,1,0,0,0,0,1
61,l0,male,32,Nagykanizsa,Szakorvos ,178,1,0,1,1,1,2,1,1,2,1,1,0,0,473613,0,0,0,0,0,0,1,1,1,1,5,0,0,1,0,0,1,504,2,1,1,1,2,1,1,1,0,1,0,0,1
62,l0,male,33,Nagybajcs,asztalos ,170,1,2,1,1,1,2,1,2,2,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,5,0,0,1,2,0,0,0,1,1,1,3,1,0,0,1,0,1,1,1,0
63,l1,female,57,Nagykanizsa,asztalos ,173,2,1,4,0,1,1,1,2,3,5,4,0,0,0,1,0,0,0,1,1,1,1,0,0,1,2,0,1,1,0,4,0,3,3,1,1,0,1,1,1,0,0,0,0,1
64,l1,female,55,Nagykanizsa,Lakatos ,167,4,0,4,1,1,2,1,2,2,3,1,0,0,326685,1,0,0,1,1,1,0,1,0,0,5,1,0,4,0,0,1,17,2,1,1,3,1,1,1,1,2,1,0,0,3
65,l1,female,47,Nagykanizsa,Szakorvos ,171,0,0,2,1,1,1,1,1,3,3,1,0,1,1141,1,0,0,0,1,0,1,1,0,0,5,1,0,1,0,1,4,275,1,1,1,3,1,0,0,1,1,0,0,1,0
66,l1,male,33,Nagykanizsa,asztalos ,164,3,1,3,1,1,1,1,0,2,3,1,0,0,0,1,0,0,1,1,1,0,1,0,0,5,1,0,2,0,0,3,343,1,0,1,1,2,1,1,2,0,1,1,1,1
67,l0,male,25,Nagykanizsa,Lakatos ,167,0,0,3,0,1,1,1,1,2,5,1,0,0,123846,1,0,1,0,1,0,0,0,0,0,4,1,1,4,0,0,1,6599,3,1,1,1,2,1,1,1,0,0,1,0,1
68,l0,female,25,Budakeszi,Lakatos ,176,4,0,2,0,1,1,1,2,3,5,4,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,2,1,4,406,2,1,1,1,1,1,1,2,2,0,0,0,1
69,l0,male,30,Nagykanizsa,asztalos ,158,0,2,3,1,1,2,1,1,2,1,0,0,1,168283,0,0,0,0,0,0,0,1,1,0,2,1,0,1,2,0,0,0,3,1,1,1,2,1,0,2,0,0,1,1,2
70,l1,female,38,Budakeszi,asztalos ,178,3,0,3,0,1,1,1,1,3,1,4,0,0,129512,1,0,1,1,1,1,0,1,0,0,5,1,0,1,2,0,3,59,2,0,1,3,2,1,1,2,2,1,0,0,3
71,l0,male,27,Nagybajcs,Szakorvos ,169,3,0,3,0,1,1,1,2,2,0,1,0,0,12199236,0,0,1,0,1,0,1,1,1,0,3,2,0,1,2,3,3,417,0,1,1,3,1,1,1,1,2,1,0,1,2
72,l0,female,43,Budakeszi,Lakatos ,181,4,0,3,0,1,1,0,1,3,7,1,0,1,440876,1,0,0,0,1,1,0,1,1,1,5,1,0,1,2,0,3,0,3,3,1,1,2,0,0,1,2,0,0,1,2
73,l1,male,65,Nagykanizsa,Lakatos ,170,0,0,4,0,1,1,1,1,2,6,4,0,0,328331,0,0,0,1,0,0,1,1,1,0,1,2,0,1,0,0,3,132,2,3,1,3,2,0,1,2,2,0,1,1,1
74,l1,female,54,Budakeszi,Szakorvos ,186,4,0,1,0,0,1,1,0,3,0,0,0,0,456734,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,3,569,0,3,1,1,2,1,1,1,1,0,1,0,4
75,l0,male,32,Nagykanizsa,Lakatos ,162,4,0,1,1,1,1,1,2,2,2,1,0,1,297618,1,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,1,606,2,1,0,1,2,1,1,2,2,1,1,0,0
76,l0,male,26,Budakeszi,asztalos ,170,0,0,3,0,1,1,1,1,2,0,0,0,1,326578,1,0,0,0,0,1,0,1,1,1,0,1,0,1,2,1,4,6210,2,3,0,3,1,0,0,1,0,0,1,0,3
77,l0,male,30,Budakeszi,asztalos ,170,4,0,3,0,1,1,1,1,2,1,0,0,1,297852,1,1,1,0,1,1,0,1,0,0,5,1,0,1,2,3,4,530,2,2,1,2,1,0,0,0,0,0,0,0,1
78,l0,male,49,Nagykanizsa,asztalos ,170,0,0,3,1,1,2,1,0,2,1,0,0,0,234835,0,0,1,0,0,1,1,1,1,1,3,2,0,1,0,0,1,580,0,2,1,1,2,0,0,1,0,0,0,0,1
79,l0,female,55,Budakeszi,Szakorvos ,173,0,0,1,1,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,0,0,0,1,1,4,1,0,1,0,0,3,454,2,1,1,2,1,0,0,1,0,1,1,1,1
80,l0,male,63,Nagykanizsa,Lakatos ,188,3,0,3,1,1,1,0,2,1,0,0,0,1,121448,1,0,1,0,1,1,0,1,1,1,1,2,0,1,1,0,2,0,2,2,1,3,2,1,0,1,0,0,0,0,4
81,l1,male,49,Nagykanizsa,Szakorvos ,189,3,0,4,1,1,1,1,2,2,4,4,0,0,0,1,0,0,0,1,0,1,1,1,1,5,1,0,4,0,2,4,25167,2,1,1,3,0,1,0,1,0,1,1,1,1
82,l1,male,31,Nagykanizsa,Lakatos ,159,3,0,3,0,0,1,1,1,3,2,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,2,0,4,420,3,3,1,3,2,1,1,0,1,0,1,1,1
83,l0,male,46,Nagykanizsa,asztalos ,177,0,2,3,1,1,2,1,2,2,5,4,0,1,16188144,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,1
84,l1,female,55,Nagykanizsa,Szakorvos ,166,1,0,2,1,1,2,1,2,2,2,1,0,0,153922,0,0,0,0,1,0,0,1,1,1,1,1,0,3,2,0,3,459,2,1,1,1,2,0,1,2,2,1,0,0,0
85,l0,male,35,Nagybajcs,asztalos ,156,0,1,3,1,1,1,1,1,3,2,1,0,0,274878,1,0,0,0,1,1,0,1,1,0,1,1,0,4,2,1,0,5558,2,1,1,1,1,0,0,1,1,1,1,1,4
86,l1,male,40,Nagykanizsa,Lakatos ,166,4,0,4,0,1,1,1,1,2,3,1,0,0,147664,1,0,1,1,1,1,0,1,0,0,1,2,0,1,0,4,1,336,1,1,1,1,1,1,1,2,2,1,1,0,1
87,l0,female,40,Nagykanizsa,Szakorvos ,171,3,0,3,0,1,2,1,1,3,0,0,0,0,308590,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,3,0,2,0,1,0,2,0,0,1,0,0,1,1,1
88,l0,male,57,Nagybajcs,Lakatos ,156,0,0,1,1,1,1,1,1,2,1,0,0,0,412697,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,68,2,3,1,3,0,1,0,0,0,1,1,1,2
89,l1,male,39,Budakeszi,asztalos ,176,2,0,3,1,1,2,1,1,1,2,1,0,0,220970,1,0,0,0,1,1,0,1,1,0,2,1,0,0,0,3,4,729,2,0,1,3,1,1,1,0,0,1,1,0,1
90,l1,female,44,Nagykanizsa,Lakatos ,168,3,2,3,1,1,1,1,2,2,2,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,3,0,1,2,0,1,0,2,1,1,1,1,1,1,1,0,1,1,0,1
91,l0,female,56,Budakeszi,Szakorvos ,184,4,0,1,0,1,1,1,1,0,6,1,0,0,235999,0,0,1,0,1,0,1,1,0,1,1,1,0,1,2,0,0,631,2,1,1,2,2,1,0,1,2,1,0,0,1
92,l1,female,42,Budakeszi,Szakorvos ,174,3,0,3,1,1,1,1,1,0,0,0,0,1,1015461,1,0,0,0,1,1,0,1,1,1,1,1,0,0,2,0,0,0,1,1,1,3,2,0,0,0,0,1,0,0,4
93,l1,male,46,Nagykanizsa,Szakorvos ,166,0,1,3,1,1,1,1,2,3,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,2,0,4,0,0,0,0,2,1,1,1,2,0,0,1,0,1,1,1,0
94,l0,female,52,Budakeszi,Szakorvos ,183,4,0,4,1,1,1,1,1,2,1,0,0,0,15461927,1,1,1,0,1,0,0,1,1,1,2,1,0,1,2,0,0,0,3,2,0,3,2,1,1,1,0,0,0,1,3
95,l0,male,42,Nagykanizsa,asztalos ,165,1,0,3,1,1,1,1,3,2,0,0,0,0,487908,1,0,0,0,1,0,0,1,1,1,5,2,0,1,0,0,0,0,3,3,1,1,2,1,0,1,2,0,0,0,0
96,l0,male,33,Nagybajcs,asztalos ,162,4,0,1,0,1,1,1,2,2,0,0,0,1,39324,1,0,1,0,1,1,0,1,0,0,5,2,1,1,3,0,0,254,3,3,1,3,1,1,0,2,2,1,0,0,2
97,l1,male,38,Nagybajcs,Szakorvos ,185,0,0,2,1,1,1,1,1,2,3,1,0,0,418647,1,0,1,0,1,1,0,1,1,1,5,1,0,1,4,1,3,279,1,3,1,2,1,1,1,1,0,0,1,1,1
98,l0,male,60,Nagykanizsa,asztalos ,171,4,0,3,0,1,1,1,1,2,2,1,0,1,610912,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,3,279,1,1,1,3,2,1,0,1,0,1,0,0,1
99,l1,female,27,Budakeszi,Lakatos ,182,2,2,4,1,1,1,1,1,3,5,1,0,0,0,1,0,1,0,0,0,0,1,1,0,5,0,0,1,2,0,0,424,2,3,1,2,0,1,1,2,1,0,1,1,1
100,l0,male,60,Nagybajcs,asztalos ,169,4,0,1,1,1,1,1,1,3,1,1,0,1,503854,1,0,0,0,1,1,0,0,0,0,5,3,0,4,2,0,0,182,2,2,1,1,1,1,0,0,0,0,1,1,1
101,l1,male,27,Nagykanizsa,Szakorvos ,156,0,0,4,1,1,2,1,0,0,4,1,0,1,22985,1,0,0,0,1,0,0,0,1,1,5,2,1,4,2,0,3,590,2,3,1,3,0,0,1,1,2,0,1,0,1
102,l1,male,27,Nagykanizsa,Szakorvos ,177,0,2,1,1,1,1,1,2,2,3,1,0,0,163,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,2,529,2,1,1,1,1,1,0,1,0,0,1,0,1
103,l1,male,44,Nagykanizsa,asztalos ,170,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,1,0,1,2,3,3,226,2,2,1,3,0,1,0,1,2,0,1,0,1
104,l0,female,28,Budakeszi,Szakorvos ,183,4,0,2,1,1,2,1,0,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,2,0,0,507,2,1,1,1,2,0,0,1,0,1,1,1,1
105,l1,male,55,Nagykanizsa,Szakorvos ,184,3,1,3,1,1,1,1,1,2,3,1,0,0,0,1,0,0,0,1,1,1,1,1,0,5,1,0,1,0,1,1,831,3,2,1,3,1,1,0,1,0,1,0,0,1
106,l0,male,27,Nagybajcs,Lakatos ,167,3,0,1,1,1,2,0,1,2,0,4,0,0,10469854,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,398,1,1,1,1,1,0,0,1,0,1,1,0,0
107,l1,male,33,Nagykanizsa,Szakorvos ,166,3,0,3,1,1,1,1,2,2,2,1,0,1,205059,1,0,1,1,1,1,1,1,1,1,5,1,0,1,2,0,3,109,2,1,1,3,0,1,0,2,2,0,1,1,3
108,l1,male,65,Budakeszi,Lakatos ,178,3,0,3,1,1,1,1,1,3,0,0,0,0,483948,1,0,1,0,1,0,0,1,1,1,5,1,0,1,0,0,1,106,2,1,1,1,2,1,0,1,2,0,1,1,4
109,l1,female,28,Nagykanizsa,Szakorvos ,169,4,0,2,0,1,1,1,1,2,5,0,0,1,0,0,0,0,0,1,0,1,0,1,1,3,1,0,0,0,2,3,584,2,1,1,0,2,1,1,2,2,1,0,0,1
110,l1,female,27,Nagybajcs,Lakatos ,152,1,0,2,1,1,2,1,0,3,7,4,0,1,36299,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,2,3,293,2,0,1,1,2,1,0,1,0,1,1,1,0
111,l1,male,40,Nagybajcs,asztalos ,160,4,0,3,1,1,1,1,0,2,0,0,0,0,149042,0,0,0,0,1,0,0,1,1,1,5,2,0,1,4,2,4,9387,2,1,1,3,2,1,1,1,0,1,1,0,1
112,l0,female,46,Budakeszi,Szakorvos ,180,4,0,3,1,1,1,1,2,3,5,4,0,0,168963,1,0,1,0,1,0,1,1,1,1,5,2,0,3,2,0,0,614,2,3,1,1,2,1,0,0,0,1,1,0,1
